Trace1,
Freq,,Amp,,
          2940333143,Hz,               -6.50, dBm,
          2940666476,Hz,               -6.51, dBm,
          2940999809,Hz,               -6.51, dBm,
          2941333142,Hz,               -6.51, dBm,
          2941666475,Hz,               -6.52, dBm,
          2941999808,Hz,               -6.51, dBm,
          2942333141,Hz,               -6.52, dBm,
          2942666474,Hz,               -6.52, dBm,
          2942999807,Hz,               -6.52, dBm,
          2943333140,Hz,               -6.53, dBm,
          2943666473,Hz,               -6.53, dBm,
          2943999806,Hz,               -6.53, dBm,
          2944333139,Hz,               -6.53, dBm,
          2944666472,Hz,               -6.53, dBm,
          2944999805,Hz,               -6.53, dBm,
          2945333138,Hz,               -6.53, dBm,
          2945666471,Hz,               -6.53, dBm,
          2945999804,Hz,               -6.53, dBm,
          2946333137,Hz,               -6.53, dBm,
          2946666470,Hz,               -6.53, dBm,
          2946999803,Hz,               -6.53, dBm,
          2947333136,Hz,               -6.54, dBm,
          2947666469,Hz,               -6.53, dBm,
          2947999802,Hz,               -6.54, dBm,
          2948333135,Hz,               -6.53, dBm,
          2948666468,Hz,               -6.53, dBm,
          2948999801,Hz,               -6.53, dBm,
          2949333134,Hz,               -6.53, dBm,
          2949666467,Hz,               -6.52, dBm,
          2949999800,Hz,               -6.53, dBm,
